date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2005-03-28;77.0427;31.2303;1.0174536792120283;1.0067537612259165;0.8965382898055231;1.0106281380792483;1.1348691860475184;1.1229344833050035;1.0106927716707748;1.0304072830369402;1.0086626769515523;0.9256695100591427;1.021557857331557;1.1131481288295924;1.0896574490037023;0.9955876184346613;1
2005-03-29;77.0427;31.0465;1.0154452382528496;1.006951781284923;0.8975809713314821;1.0084348199444948;1.1313132415747698;1.1218506334767757;1.0174254017577267;1.0324550041297496;1.0148398048089178;0.9319905142286583;1.017357615692014;1.1077956141905998;1.088894993366781;1.0098658463917027;1
2005-03-30;78.2937;31.4294;0.998078845606807;0.9913222647543791;0.884373576673474;1.0068157259174462;1.1285715357541883;1.1209315733778331;0.9976613699441973;1.0163609323026932;1.002719810114099;0.921612455217091;1.0136041215611784;1.1028072879758157;1.088005923138162;1.0097488338943792;0
2005-03-31;78.6903;31.169;0.9928823138666025;0.9870471964142968;0.8810021565555091;1.0059116904171383;1.1269919221861113;1.1203686495767462;1.0031020341770205;1.0211313438718868;1.0110576534377127;0.9301741473900362;1.0099635173127095;1.097785126298195;1.086955229055362;1.0152362924700824;0
2005-04-01;78.0496;31.2456;1.0002230266760765;0.9956657817592905;0.8893279337754452;1.004577082993385;1.1246953892810392;1.1195710198063966;1.0164190463500133;1.0147764805284578;1.0086966484881095;0.9287855250019216;1.006027413741744;1.0925842976787976;1.0860382955322463;1.0137267327239674;1
2005-04-04;77.8665;31.0925;1.0018752792095624;0.9985634900759623;0.8924521071320781;1.0033165533954662;1.1226095733351102;1.1188986860985475;1.0270373010216203;1.0163601695401963;1.0141265578515741;0.9342132829460492;1.0022024979735804;1.0879316191427895;1.0855407179113508;1.0349730642437889;0
2005-04-05;78.3852;31.3528;0.9945504472054122;0.9925551252022057;0.8876094658175264;1.0020102883482669;1.1204820199719123;1.1182340470963992;1.0144019534299842;1.0050257529972255;1.006312737618333;0.9273581147457336;0.9987210888096743;1.0837515055042002;1.0851393023009752;1.0322427343012428;0
2005-04-06;78.1106;31.7358;0.9976282714144151;0.9966851105995846;0.8917504666460118;1.0009462976870027;1.1187303048650183;1.1176726538178843;1.0070310559642353;0.9917591939882218;0.9951817190680577;0.9171407684696788;0.9965609043913698;1.081359839278598;1.0850915729420645;1.0048242048412204;1
2005-04-07;78.9344;31.6439;0.9876030874100153;0.98714905035067;0.883547287367738;1.0004599478256946;1.1177704934755446;1.1172566137253188;0.9856982506993148;0.9927726986875821;0.9989915907963327;0.9207549796327266;0.993774830372903;1.0782159430553198;1.084970065754967;1.0053217207739882;0
2005-04-08;79.3311;31.6745;0.9828568403276176;0.983043522653788;0.8802071129733482;0.999810097598053;1.1166199702789468;1.1168320593695924;0.9692302262290576;0.991295611837372;0.9986551326777083;0.920757612590571;0.9926305682517215;1.0766086517040472;1.0846015487919465;0.9903297605329209;0
2005-04-11;79.9718;32.1799;0.9763724748688195;0.9762742366684246;0.8742833536321549;1.000100625620041;1.116768918008723;1.116656553750629;0.9557418990194043;0.9769847460238037;0.9839988937193737;0.9071659327717001;0.9928717931083667;1.0769636631291735;1.0846955977644825;0.9719203602248607;0
