"","date","ret_stat","ret_ew","stat","ew"
"76",2018-04-20,-2.46234504270929e-05,-0.000747696932191788,1.00126101455791,1.01604658391253
"77",2018-04-23,-0.000248856883553272,-0.00567950960139516,1.0010118438622,1.01027593758374
"78",2018-04-24,-0.000187736554786779,-0.00399706142812892,1.00082391734734,1.00623780260185
"79",2018-04-25,0.000170946611127198,0.0036944130424463,1.00099500480434,1.00995526066359
"80",2018-04-26,0.000123282621874,0.00186303136124014,1.00111841009302,1.01183683898766
"81",2018-04-27,-0.000269277994646009,-0.00581060815411939,1.00084883093514,1.0059574516004
"82",2018-04-30,-0.000222102928465274,-0.00473431992972866,1.00062653947884,1.00119492718882
"83",2018-05-01,5.81323159388691e-05,0.00150221233112675,1.00068470821697,1.00269893455431
"84",2018-05-02,0.000119430709956841,0.0026743520471819,1.00080422070212,1.00538050450264
"85",2018-05-03,0.000154011078793429,0.00326798348214293,1.00095835563981,1.00866607138462
"86",2018-05-04,6.65441937413482e-05,0.00103869818985907,1.00102496360655,1.00971377100714
"87",2018-05-07,-2.59239256309384e-05,-0.0016015022791344,1.00099901310984,1.0080967121016
"88",2018-05-08,0.000264060420225251,0.00574931307503984,1.00126333732989,1.01389257570939
"89",2018-05-09,0.000257786569774053,0.00542088362077574,1.00152144957106,1.01938876936628
"90",2018-05-10,2.50537052069914e-05,0.000560391661936854,1.00154654139422,1.01996002633291
"91",2018-05-11,2.71733103032284e-05,0.000206389765146775,1.00157375672917,1.0201705356432
"92",2018-05-14,-0.00025834359198056,-0.00569514984828103,1.00131500656722,1.01436051157191
"93",2018-05-15,-0.000228499771057272,-0.0038629426344608,1.00108620631746,1.01044209510505
"94",2018-05-16,8.42607975756357e-05,0.00171426395012477,1.00117055863965,1.01217425956237
"95",2018-05-17,-0.000230083950021049,-0.00434309826405814,1.00094020536287,1.00777828729274
"96",2018-05-18,0.000256039427802112,0.0057812153739265,1.00119648552032,1.01360447062075
"97",2018-05-21,5.56233816894364e-05,0.000941500985183685,1.00125217545458,1.01455878022843
"98",2018-05-22,-0.000638152766937537,-0.0142201029166007,1.00061322360841,1.00013164995864
"99",2018-05-23,-0.000152196506246127,-0.00326382471452131,1.00046093377167,0.996867395561728
"100",2018-05-24,-0.000542122881304817,-0.0100272626391139,0.999918561007625,0.986871544370061
"101",2018-05-25,-0.00156567043482244,-0.0329690811563641,0.998353018079425,0.954335296332818
"102",2018-05-29,0.001106264104169,0.0205153059296685,0.999457460186616,0.973913776896567
"103",2018-05-30,-0.000210191877626626,-0.0044573644531378,0.999247382346451,0.969572688247007
"104",2018-05-31,0.000352608047914934,0.00840155645580134,0.999599725015324,0.977718607925317
"105",2018-06-01,0.00015424378323816,0.00320111785407825,0.999753907058635,0.980848400417412
"106",2018-06-04,-0.000139976057861083,-0.00247800962241531,0.999613965447893,0.978417848643046
"107",2018-06-05,0.00050352648108563,0.011157486835225,1.00011729755036,0.98933453290863
"108",2018-06-06,-0.000345925045765795,-0.0078379952101434,0.999771331928433,0.981580133578463
"109",2018-06-07,4.51028903166217e-05,0.000968861342558136,0.999816424505159,0.98253114862451
"110",2018-06-08,0.000556593640507224,0.0124350066678725,1.00037291596871,0.994748930009048
"111",2018-06-11,-0.000216549532734695,-0.00489523307467934,1.0001562856812,0.989879402145866
"112",2018-06-12,0.000100316541466016,0.00209591611328398,1.0002566179007,0.991954106335032
"113",2018-06-13,-0.000172673904642112,-0.00210513424613197,1.00008389968485,0.989865909775195
"114",2018-06-14,-0.000277090374892036,-0.00648364364626172,0.99980678606216,0.98344797195863
"115",2018-06-15,-0.000431045469999808,-0.00954235512347032,0.999375823876153,0.974063562164744
"116",2018-06-18,-0.000255872523625057,-0.00655554027155134,0.999120111062048,0.967678049255922
"117",2018-06-19,-3.87308268793184e-06,-0.000331920181761114,0.999116241387243,0.967356857381927
"118",2018-06-20,-0.000509711206028845,-0.0103836940541928,0.998606980642882,0.957312119733647
"119",2018-06-21,0.000568102370585735,0.0124102297998955,0.999174291635869,0.969192583129767
